Name,Publisher
Dwight D. Eisenhower,Marvel
Matthew Mitchell,Marvel
Al-Thahab Al-Aswad,Marvel
Memento Mori,Marvel
Herr Huss,Marvel
Tommy Thumb,Marvel
Trapeze Trio,Marvel
Bruno Beitz,Marvel
Edward Elmgren,Marvel
Monstro the Mighty,Marvel
Peri Purr,Marvel
Frank Ferrule,Marvel
Lash Larribee,Marvel
Perry Palette,Marvel
Son of Satan,Marvel
Flash Finnigan,Marvel
Pearl of Pyongyang,Marvel
Colonel Corey,Marvel
Muktong Mollie,Marvel
Snake Lady of Sinyong,Marvel
Dangerous Doll,Marvel
Adam Able,Marvel
Cack Clugg,Marvel
Gorgi Gruff,Marvel
Charleton Carter,Marvel
Kanga Khan,Marvel
"Marko, the Manhunter",Marvel
Masked Maverick,Marvel
Milton Monroe,Marvel
Saru-San,Marvel
Barton Blaze,Marvel
Gregson Grant,Marvel
Moose Morgan,Marvel
Ma Mayhem,Marvel
Molecule Man,Marvel
Paxton Pentecost,Marvel
Robert Russo,Marvel
Tapping Tommy,Marvel
Kerwin Kronus,Marvel
Prince Philip,Marvel
Ralph Rider,Marvel
"Joseph Danvers, Jr.",Marvel
Sinister Soofi,Marvel
Brute Bashby,Marvel
John Judson,Marvel
Solon Stabilizer,Marvel
Li Ching-Lin,Marvel
Nose Norton,Marvel
Raymond Royton,Marvel
Deadshot Darrance,Marvel
Karant Kiar,Marvel
Xxan Xxar,Marvel
Jesse Johns,Marvel
Ralph Ratchit,Marvel
Charlie Carcrash,Marvel
Sandy Stalmaster,Marvel
Chuck Cherkle,Marvel
Leaper Logan,Marvel
Gerald Grondier,Marvel
Scientist Supreme,Marvel
William Wesley,Marvel
Bear Brother,Marvel
Dark Dweller,Marvel
Mr. Meer,Marvel
Mrs. Meer,Marvel
Hamza Halladah,Marvel
Selena Slate,Marvel
Tony Trainer,Marvel
Lord Ludox,Marvel
Second Sleeper,Marvel
Stefan of Symkaria,Marvel
Tuzun Thune,Marvel
Alistaire Armstrong,Marvel
Sari St. Hubbins,Marvel
Christina Carr,Marvel
Bannerman Black,Marvel
Bannerman Blue,Marvel
Wallace Worthington,Marvel
"John Howlett, Jr.",Marvel
Jane Jones,Marvel
John Joseph Maguire,Marvel
John Watkins Jr.,Marvel
Ali Al-Zubaidi,Marvel
G\u00fcnter Gross,Marvel
Jefferson Jamison,Marvel
Makiko Morioka,Marvel
Miranda Mantega,Marvel
Laurent Levessaur,Marvel
Simon Sanderson,Marvel
Rose Red,Marvel
Adam Austin,Marvel
Susan Svenson,Marvel
Zack Zimmerman,Marvel
Bannerman Brown,Marvel
Bei Bang-Wen,Marvel
Carlos Carvalho,Marvel
Saen Sendak,Marvel
Star Sign,Marvel
Matu Makalani,Marvel
Shoji Soma,Marvel
Warren Worthington,Marvel
Dal Damoc,Marvel
Boyd Buzzard,Marvel
Bufford Buzzard,Marvel
Carrion Crow,Marvel
Mr. Macik,Marvel
Mrs. Macik,Marvel
Marvin Martin,Marvel
Crimson Commando,Marvel
Sergei Sorokin,Marvel
Matthew Malloy,Marvel
Protozoan Porter,Marvel
Mike Malone,Marvel
Brains Borelli,Marvel
Grey Gidden,Marvel
Simon Sendach,Marvel
Danny Dougherty,Marvel
Dum-Dum,Marvel
Mildred Manor,Marvel
Mister Million,Marvel
Mor the Mighty,Marvel
Piggy Perroni,Marvel
Rhamu Rondi,Marvel
Robert Roland,Marvel
Super Slave,Marvel
Baron and Baroness Kidersky,Marvel
Beast of Cactus Canyon,Marvel
Butch Brogan,Marvel
Caleb Crane,Marvel
Captain Cookie,Marvel
Captain Cutter,Marvel
Charles Chewatt,Marvel
Cupid Cueball,Marvel
Deena Drayson,Marvel
Derrick Dawes,Marvel
Fish Face Friday,Marvel
Gary Gaunt,Marvel
Gi-Gi Devin,Marvel
Herr Horner,Marvel
Karl Koodamore,Marvel
Killer Kole,Marvel
Lana Love,Marvel
Longnails Legarya,Marvel
Mock Mikado,Marvel
Mysto the Magician,Marvel
Orrible Oress,Marvel
Princess Pam,Marvel
Rolf Reibel,Marvel
Bloody Baron,Marvel
Clamp Casey,Marvel
Heinrich Himmelman,Marvel
Maxie Muggs,Marvel
Mole-Man,Marvel
Olaf Olsen,Marvel
Pete Porker,Marvel
Rockford Rico,Marvel
Snake-Eye Smith,Marvel
Steve Strong,Marvel
Tick and Tock,Marvel
Bamboo Knife Butcher,Marvel
Banker Blair,Marvel
Choo-Choo Charley,Marvel
Director of Death,Marvel
Flying Falcon,Marvel
Karl Kraft,Marvel
Maxie Murdock,Marvel
Ogar of the Ocean,Marvel
Wilton Wilkes,Marvel
Big Boy Bates,Marvel
Jeff and Jock Blintz,Marvel
Mark Mankin,Marvel
Master Megalo,Marvel
False Face,Marvel
Homer Hamlen,Marvel
Ned Nestor,Marvel
Silk Stocking Strangler,Marvel
Black Baron,Marvel
Edgar Elliot,Marvel
Helen Hale,Marvel
Hubert Humperdinck,Marvel
Hyram Heale,Marvel
Jack Jordan,Marvel
Jack Jordan,DC
