Title,YearStart,YearEnd,Printings,Source,Notes
Batman: Nine Lives,2002,2002,,"https://en.wikipedia.org/wiki/Batman:_Nine_Lives,https://dc.fandom.com/wiki/Batman:_Nine_Lives,https://www.dccomics.com/graphic-novels/batman-nine-lives",
Batman: Strange Apparitions,1977,1978,,"https://dc.fandom.com/wiki/Batman:_Strange_Apparitions_(Collected),https://dc.fandom.com/wiki/Batman:_Strange_Apparitions,https://www.dccomics.com/graphic-novels/batman-1940/batman-strange-apparitions",
Batman: Year 100,2006,2006,,"https://en.wikipedia.org/wiki/Batman:_Year_100,https://dc.fandom.com/wiki/Batman:_Year_100_Vol_1,https://www.dccomics.com/graphic-novels/batman-year-100-2006/batman-year-100",
Batman: Venom,1991,1991,,"https://dc.fandom.com/wiki/Batman:_Venom,https://www.dccomics.com/graphic-novels/batman-legends-of-the-dark-knight-1989/batman-venom-new-edition",Batman: Legends of the Dark Knight no.16-20
Batman: A Lonely Place of Dying,1989,1989,,"https://dc.fandom.com/wiki/Batman:_A_Lonely_Place_of_Dying",
Batman: The War of Jokes and Riddles,2017,2017,,https://dc.fandom.com/wiki/Batman:_The_War_of_Jokes_and_Riddles,Volume 3 of Batman
Batman: R.I.P.,2008,2008,,"https://en.wikipedia.org/wiki/Batman_R.I.P.,https://dc.fandom.com/wiki/Batman_R.I.P.https://www.dccomics.com/graphic-novels/batman-1940/batman-rip",
Batman: Blind Justice,1989,1889,,"https://dc.fandom.com/wiki/Batman:_Blind_Justice,https://www.dccomics.com/graphic-novels/detective-comics-1937/batman-blind-justice",detective comics 598-600
Batman Adventures: Mad Love,1993,1993,,"https://en.wikipedia.org/wiki/The_Batman_Adventures:_Mad_Love,https://dc.fandom.com/wiki/The_Batman_Adventures:_Mad_Love",
Gotham by Gaslight,1989,1989,5,https://www.comics.org/issue/45831/,
#
Batman & Dracula: Red Rain,1991,1991,,"https://en.wikipedia.org/wiki/Batman_%26_Dracula_trilogy,https://dc.fandom.com/wiki/Batman_and_Dracula:_Red_Rain",
Flashpoint: Batman - Knight of Vengeance,2011,2011,,"https://dc.fandom.com/wiki/Flashpoint:_Batman_-_Knight_of_Vengeance_Vol_1,https://www.dccomics.com/comics/flashpoint-the-world-of-flashpoint-featuring-batman-2011/flashpoint-batman-knight-of-1",Vol.1
JLA: Tower of Babel,2000,2000,,"https://en.wikipedia.org/wiki/JLA:_Tower_of_Babel,https://dc.fandom.com/wiki/JLA:_Tower_of_Babel", JLA 43-46
Batwoman: Elegy,2009,2010,,"https://en.wikipedia.org/wiki/Batwoman:_Elegy,https://dc.fandom.com/wiki/Batwoman:_Elegy,https://www.dccomics.com/graphic-novels/detective-comics-1937/batwoman-elegy",detective comics 854-860
"Batman Eternal, Vol. 1",2014,2015,,"https://www.dccomics.com/graphic-novels/batman-eternal-vol-1,Batman_Eternal_Vol_1,https://en.wikipedia.org/wiki/Batman_Eternal",
Batman: The Man Who Laughs,2005,2005,,"https://en.wikipedia.org/wiki/Batman:_The_Man_Who_Laughs,https://dc.fandom.com/wiki/Batman:_The_Man_Who_Laughs,https://www.dccomics.com/graphic-novels/batman-the-man-who-laughs",
Batman: The Cult,1988,1988,,"https://en.wikipedia.org/wiki/Batman:_The_Cult,https://dc.fandom.com/wiki/Batman:_The_Cult,https://www.dccomics.com/graphic-novels/batman-the-cult-new-printing",
Batman: Gothic,1990,1990,,"https://en.wikipedia.org/wiki/Batman:_Gothic,https://dc.fandom.com/wiki/Batman:_Gothic,https://www.dccomics.com/graphic-novels/batman-legends-of-the-dark-knight-1989/batman-gothic",Legends of the Dark Knight 
Batman: Ego,2000,2000,,"https://dc.fandom.com/wiki/Batman:_Ego_Vol_1_1",
Batman: The Eye of the Beholder,2011,2011,,"https://www.dccomics.com/graphic-novels/batman-1940/batman-eye-of-the-beholder,https://dc.fandom.com/wiki/Batman:_Eye_of_the_Beholder_(Collected)",
Batman: Prey,1990,1991,,"https://en.wikipedia.org/wiki/Batman:_Prey,https://dc.fandom.com/wiki/Batman:_Prey,",legend of the dark knight 11-15 (later collection adds 137-141)
Bruce Wayne: Murderer?,2002,2002,,"https://en.wikipedia.org/wiki/Bruce_Wayne:_Fugitive,https://dc.fandom.com/wiki/Batman:_Bruce_Wayne_-_Murderer%3F_(Collected)",
Bruce Wayne: Fugitive,2002,2002,,"https://en.wikipedia.org/wiki/Bruce_Wayne:_Fugitive,https://dc.fandom.com/wiki/Bruce_Wayne:_Fugitive",
