Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Avengers: Age of Ultron,108.32,0.7682,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,108.47,0.7693,Hawkeye,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,108.53,0.7697,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,108.68,0.7708,Hawkeye,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,108.73,0.7711,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,108.88,0.7722,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,109.27,0.775,Thor,Ultron,Ultron
Avengers: Age of Ultron,109.35,0.7755,Thor,Ultron,Ultron
Avengers: Age of Ultron,109.48,0.7765,Ultron's Mooks,Police Mooks,Ultron's Mooks
Avengers: Age of Ultron,109.55,0.777,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,109.65,0.7777,Police Mooks,Quicksilver,Police Mooks
Avengers: Age of Ultron,109.72,0.7782,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,109.72,0.7782,Black Widow,Ultron's Mooks,Black Widow
Avengers: Age of Ultron,109.85,0.7791,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,109.85,0.7791,Black Widow,Ultron's Mooks,Black Widow
Avengers: Age of Ultron,112.43,0.7974,War Machine,Ultron's Mooks,War Machine
Avengers: Age of Ultron,112.55,0.7982,Iron Man,Ultron's Mooks,Iron Man
Avengers: Age of Ultron,112.7,0.7993,Iron Man,Ultron's Mooks,Iron Man
Avengers: Age of Ultron,113.42,0.8044,Maria Hill,Ultron's Mooks,Maria Hill
Avengers: Age of Ultron,113.45,0.8046,Nick Fury,Ultron's Mooks,Nick Fury
Avengers: Age of Ultron,113.63,0.8059,Thor,Ultron,Ultron
Avengers: Age of Ultron,113.9,0.8078,Vision,Ultron,Vision
Avengers: Age of Ultron,114.12,0.8094,Iron Man,Ultron's Mooks,Iron Man
Avengers: Age of Ultron,114.25,0.8103,Ultron's Mooks,aircraft,Ultron's Mooks
Avengers: Age of Ultron,114.32,0.8108,War Machine,Ultron's Mooks,War Machine
Avengers: Age of Ultron,114.6,0.8128,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,114.62,0.8129,Quicksilver,Ultron's Mooks,Quicksilver
Avengers: Age of Ultron,114.67,0.8133,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,114.9,0.8149,Black Widow,Ultron's Mooks,Black Widow
Avengers: Age of Ultron,114.97,0.8154,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,115.07,0.8161,Hulk,Ultron's Mooks,Hulk
Avengers: Age of Ultron,115.77,0.8211,Avengers,Ultron's Mooks,Avengers
Avengers: Age of Ultron,115.77,0.8211,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,115.8,0.8213,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,115.85,0.8216,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,115.87,0.8218,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,115.87,0.8218,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,115.88,0.8218,Captain America,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,115.9,0.822,Black Widow,Ultron's Mooks,Black Widow
Avengers: Age of Ultron,115.92,0.8221,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,115.93,0.8222,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,115.97,0.8225,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,116.0,0.8227,Iron Man,Ultron's Mooks,Iron Man
Avengers: Age of Ultron,116.03,0.8229,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,116.17,0.8239,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,116.18,0.824,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,116.18,0.824,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,116.18,0.824,Iron Man,Ultron's Mooks,Iron Man
Avengers: Age of Ultron,116.23,0.8243,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,116.27,0.8246,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,116.3,0.8248,Hulk,Ultron's Mooks,Hulk
Avengers: Age of Ultron,116.35,0.8252,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,116.37,0.8253,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,116.4,0.8255,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,116.43,0.8257,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,116.47,0.826,Quicksilver,Ultron's Mooks,Quicksilver
Avengers: Age of Ultron,116.48,0.8261,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,116.5,0.8262,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,116.53,0.8265,Hulk,Ultron's Mooks,Hulk
Avengers: Age of Ultron,116.57,0.8267,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,116.58,0.8268,Black Widow,Ultron's Mooks,inconclusive
Avengers: Age of Ultron,116.6,0.827,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,116.65,0.8273,Vision,Ultron,Ultron
Avengers: Age of Ultron,116.68,0.8275,Vision,Ultron,Vision
Avengers: Age of Ultron,116.8,0.8284,Vision,Ultron,Vision
Avengers: Age of Ultron,116.8,0.8284,Thor,Ultron,Thor
Avengers: Age of Ultron,116.8,0.8284,Iron Man,Ultron,Iron Man
Avengers: Age of Ultron,117.13,0.8307,Hulk,Ultron,Hulk
Avengers: Age of Ultron,117.28,0.8318,Hulk,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,117.38,0.8325,War Machine,Ultron's Mooks,War Machine
Avengers: Age of Ultron,117.45,0.833,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,117.5,0.8333,Vision,Ultron's Mooks,Vision
Avengers: Age of Ultron,117.88,0.836,Quicksilver,Ultron's Mooks,Quicksilver
Avengers: Age of Ultron,117.93,0.8364,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,118.92,0.8434,Black Widow,Hulk,Hulk
Avengers: Age of Ultron,119.85,0.85,Ultron,Hulk,Ultron
Avengers: Age of Ultron,120.13,0.852,Ultron,Random Mooks,Ultron
Avengers: Age of Ultron,120.43,0.8541,Ultron,Quicksilver,Quicksilver
Avengers: Age of Ultron,120.85,0.8571,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,121.65,0.8628,Hulk,Ultron,Hulk
Avengers: Age of Ultron,122.7,0.8702,Scarlet Witch,Ultron,Scarlet Witch
Avengers: Age of Ultron,126.38,0.8963,Vision,Ultron,Vision
